Title,,Year,Rating,,,Available On,,
Modern Family,TV,2009,7+,8.4/10,90/100,+Rent or Buy,13Free Episodes,TrackHave You Seen?AllSomeNoneCancel
That '70s Show,TV,1998,16+,8.0/10,78/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Good Girls,TV,2018,16+,7.8/10,83/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Doctor Who,TV,2005,7+,8.6/10,84/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Berserk,TV,2016,18+,6.8/10,61/100,+Rent or Buy,25Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Dexter,TV,2006,18+,8.6/10,93/100,+Rent or Buy,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Pose,TV,2018,16+,8.6/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Demon Slayer: Kimetsu no Yaiba,TV,2019,18+,8.7/10,89/100,+Rent or Buy,26Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Queen of the South,TV,2016,16+,7.9/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Vikings,TV,2013,18+,8.5/10,93/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
War of the Worlds,TV,2019,16+,6.3/10,67/100,,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
NCIS,TV,2003,16+,7.7/10,83/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Snowpiercer,TV,2020,18+,6.9/10,74/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Lucifer,TV,2016,16+,8.1/10,89/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Blacklist,TV,2013,16+,8.0/10,90/100,+Rent or Buy,7Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Manifest,TV,2018,16+,7.2/10,77/100,+Rent or Buy,10Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Lost,TV,2004,16+,8.3/10,91/100,+Rent or Buy,116Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Sopranos,TV,1999,18+,9.2/10,92/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Fringe,TV,2008,16+,8.4/10,88/100,+Rent or Buy,100Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Ozark,TV,2017,18+,8.4/10,90/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Crime of the Century,TV,2021,N/A,8.2/10,67/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Debris,TV,2021,16+,6.6/10,75/100,,12Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Saturday Night Live,TV,1975,16+,8.0/10,77/100,+Rent or Buy,708Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Boys,TV,2019,18+,8.7/10,92/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Gomorrah,TV,2014,18+,8.6/10,83/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
SpongeBob SquarePants,TV,1999,7+,8.2/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Schitt's Creek,TV,2015,16+,8.5/10,86/100,+Rent or Buy,81Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Fear the Walking Dead,TV,2015,18+,6.9/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Simpsons,TV,1989,7+,8.6/10,92/100,+Rent or Buy,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Castle,TV,2009,16+,8.1/10,84/100,Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Expanse,TV,2015,16+,8.5/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Seinfeld,TV,1989,16+,8.8/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Made For Love,TV,2021,18+,6.9/10,78/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Big Bang Theory,TV,2007,16+,8.1/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
For All Mankind,TV,2019,18+,7.8/10,85/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Superstore,TV,2015,16+,7.8/10,81/100,+Rent or Buy,7Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Midsomer Murders,TV,1997,7+,7.7/10,73/100,+Rent or Buy,123Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Falcon and the Winter Soldier,TV,2021,16+,7.5/10,89/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Jujutsu Kaisen,TV,2020,16+,8.8/10,77/100,,16Free Episodes,TrackHave You Seen?AllSomeNoneCancel
True Detective,TV,2014,18+,8.9/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Brooklyn Nine-Nine,TV,2013,16+,8.4/10,91/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Game of Thrones,TV,2011,18+,9.3/10,99/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
What We Do in the Shadows,TV,2019,18+,8.5/10,85/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Good Doctor,TV,2017,16+,8.1/10,80/100,+Rent or Buy,16Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Family Guy,TV,1999,16+,8.1/10,82/100,+Rent or Buy,8Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Call the Midwife,TV,2012,16+,8.4/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Last Man Standing,TV,2011,7+,7.5/10,73/100,+Rent or Buy,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
